+  wlan0 IPv6 mayank [e0:2a:82:a2:b9:a9]                    Workstation          local
+   eth0 IPv6 sanju-Inspiron-5547 [a0:88:69:38:74:c1]       Workstation          local
+   eth0 IPv6 madhav-Lenovo-G500s [48:d2:24:51:4e:83]       Workstation          local
+   eth0 IPv6 utkarsh [70:77:81:bf:3f:39]                   Workstation          local
+   eth0 IPv6 rahul-HP [60:6d:c7:25:fd:cd]                  Workstation          local
+   eth0 IPv6 sj [24:fd:52:93:6c:0b]                        Workstation          local
+   eth0 IPv6 rajdev [50:b7:c3:20:14:2d]                    Workstation          local
+   eth0 IPv6 sksq [18:5e:0f:75:d8:75]                      Workstation          local
+   eth0 IPv6 swap-550P5C-550P7C [c8:f7:33:6d:4e:5d]        Workstation          local
+   eth0 IPv6 me [0c:8b:fd:f4:55:01]                        Workstation          local
+   eth0 IPv6 dell-Inspiron-3543 [64:5a:04:9c:c0:ac]        Workstation          local
+   eth0 IPv6 akanksha-Inspiron-7520 [84:a6:c8:2a:df:eb]    Workstation          local
+   eth0 IPv6 kanz [40:b8:9a:1c:dd:1d]                      Workstation          local
+   eth0 IPv6 head-laptop [94:db:c9:48:6b:1c]               Workstation          local
+   eth0 IPv6 nasir-HP-15-Notebook-PC [ec:0e:c4:60:4e:99]   Workstation          local
+   eth0 IPv6 pratap-HP-ENVY-15-Notebook-PC [30:3a:64:80:de:c3] Workstation          local
+   eth0 IPv6 sudhir [f4:b7:e2:b0:61:3b]                    Workstation          local
+   eth0 IPv6 ubuntu-2 [b0:10:41:1b:f7:8b]                  Workstation          local
+   eth0 IPv6 gat-Precision-T7600 [90:b1:1c:64:ef:95]       Workstation          local
+   eth0 IPv6 kiriti-Inspiron-5520 [c0:18:85:c1:4a:19]      Workstation          local
+   eth0 IPv6 pavanteja-Inspiron-5520 [c0:18:85:c8:aa:33]   Workstation          local
+   eth0 IPv6 IITMandi [34:17:eb:af:0c:0f]                  Workstation          local
+   eth0 IPv6 duggal [84:a6:c8:29:e2:5d]                    Workstation          local
+   eth0 IPv6 tulikaps-Precision-T5610 [34:17:eb:ae:9e:ce]  Workstation          local
+   eth0 IPv6 ferrari [50:af:73:6b:b3:a4]                   Workstation          local
+   eth0 IPv6 mayank [a0:48:1c:0e:81:83]                    Workstation          local
+   eth0 IPv6 LIBRARY01 [38:60:77:cb:92:77]                 Workstation          local
+   eth0 IPv6 pclab-12 [70:71:bc:9c:6c:2e]                  Workstation          local
+   eth0 IPv6 IITVandeMatram [64:00:6a:68:ee:ef]            Workstation          local
+   eth0 IPv6 insite [44:a8:42:0b:9a:38]                    Workstation          local
+   eth0 IPv6 pclab-30 [30:85:a9:47:3a:14]                  Workstation          local
