+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv4 pclab-16 [70:71:bc:9c:6b:e2]                  Workstation          local
+  wlan0 IPv6 ibmmaster-2 [00:21:5e:99:94:3a]               Workstation          local
+  wlan0 IPv6 ibmmaster-2 [00:21:5e:99:94:38]               Workstation          local
+  wlan0 IPv6 ferrari [50:af:73:6b:b3:a4]                   Workstation          local
+  wlan0 IPv6 library-HCL-Desktop [7c:05:07:07:2f:e1]       Workstation          local
+  wlan0 IPv4 tulika-OptiPlex-9010 [b8:ca:3a:86:5e:7f]      Workstation          local
+  wlan0 IPv4 pclab-20 [70:71:bc:9c:6b:58]                  Workstation          local
+  wlan0 IPv4 pclab-12 [70:71:bc:9c:6c:2e]                  Workstation          local
+  wlan0 IPv4 pclab-13 [70:71:bc:9c:6c:30]                  Workstation          local
+  wlan0 IPv4 lanka [00:25:90:c2:d9:f4]                     Workstation          local
+  wlan0 IPv4 mk-desktop [e8:40:f2:0a:fd:64]                Workstation          local
+  wlan0 IPv4 pclab-18 [70:71:bc:9c:6a:b3]                  Workstation          local
+  wlan0 IPv4 pclab-44 [30:85:a9:46:f3:a6]                  Workstation          local
+  wlan0 IPv4 Nucleation [1c:65:9d:5d:3e:bf]                Workstation          local
+  wlan0 IPv4 LIBRARY01 [38:60:77:cb:92:77]                 Workstation          local
+  wlan0 IPv4 pclab-15 [70:71:bc:9c:6b:fc]                  Workstation          local
+  wlan0 IPv4 pclab-41 [30:85:a9:46:f3:87]                  Workstation          local
+  wlan0 IPv4 hvarma [c8:1f:66:39:ae:72]                    Workstation          local
+  wlan0 IPv4 Research [b8:ca:3a:83:b8:2d]                  Workstation          local
+  wlan0 IPv4 pclab-29 [30:85:a9:47:17:9c]                  Workstation          local
+  wlan0 IPv4 ibmmaster-2 [00:21:5e:99:94:3a]               Workstation          local
+  wlan0 IPv4 ferrari [50:af:73:6b:b3:a4]                   Workstation          local
+  wlan0 IPv6 HP Officejet Pro 6830 [9C16D5]                Internet Printer     local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (6DB38D)             Internet Printer     local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (F349E0)             Internet Printer     local
+  wlan0 IPv6 Brother DCP-7065DN [001ba9a52f68]             Internet Printer     local
+  wlan0 IPv6 HP LaserJet pro M1536dnf MFP (CE538A)         Internet Printer     local
+  wlan0 IPv6 HP Fax 2 @ hvarma                             Internet Printer     local
+  wlan0 IPv4 HP LaserJet pro M1536dnf MFP (CE538A)         Internet Printer     local
+  wlan0 IPv4 HP Officejet Pro 6830 [9C16D5]                Internet Printer     local
+  wlan0 IPv4 Brother DCP-7065DN                            Internet Printer     local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (6DB38D)             Internet Printer     local
+  wlan0 IPv4 HP Fax 2 @ hvarma                             Internet Printer     local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (F349E0)             Internet Printer     local
+  wlan0 IPv4 Brother DCP-7065DN [001ba9a52f68]             Internet Printer     local
+  wlan0 IPv6 pclab-06 [70:71:bc:9c:6b:e3]                  Workstation          local
+  wlan0 IPv6 aghori [98:90:96:c6:44:fc]                    Workstation          local
+  wlan0 IPv4 ibmmaster-2 [00:21:5e:99:94:38]               Workstation          local
+  wlan0 IPv4 library-HCL-Desktop [7c:05:07:07:2f:e1]       Workstation          local
+  wlan0 IPv4 pclab-06 [70:71:bc:9c:6b:e3]                  Workstation          local
+  wlan0 IPv6 pclab-02 [70:71:bc:9c:6c:26]                  Workstation          local
+  wlan0 IPv6 pathak-HP-Z600-Workstation [b4:b5:2f:ca:64:ab] Workstation          local
+  wlan0 IPv6 IITMandi [34:17:eb:af:0c:0f]                  Workstation          local
+  wlan0 IPv4 pclab-43 [30:85:a9:47:3a:0a]                  Workstation          local
+  wlan0 IPv4 pclab-02 [70:71:bc:9c:6c:26]                  Workstation          local
+  wlan0 IPv4 IITMandi [34:17:eb:af:0c:0f]                  Workstation          local
+  wlan0 IPv6 griffon [c8:1f:66:03:80:8a]                   Workstation          local
+  wlan0 IPv4 griffon [c8:1f:66:03:80:8a]                   Workstation          local
+  wlan0 IPv6 pclab-46 [30:85:a9:46:f3:af]                  Workstation          local
+  wlan0 IPv6 gat-Precision-T7600 [90:b1:1c:64:ef:95]       Workstation          local
+  wlan0 IPv6 pclab-03 [70:71:bc:9c:6c:23]                  Workstation          local
+  wlan0 IPv6 pclab-28 [10:bf:48:73:16:f7]                  Workstation          local
+  wlan0 IPv6 tts-pri [e8:40:f2:08:f3:85]                   Workstation          local
+  wlan0 IPv4 pathak-HP-Z600-Workstation [b4:b5:2f:ca:64:ab] Workstation          local
+  wlan0 IPv4 gat-Precision-T7600 [90:b1:1c:64:ef:95]       Workstation          local
+  wlan0 IPv6 Deshu [70:f3:95:14:a2:31]                     Workstation          local
+  wlan0 IPv6 subashish [f8:bc:12:a7:37:3b]                 Workstation          local
+  wlan0 IPv6 pclab-04 [70:71:bc:9c:6c:55]                  Workstation          local
+  wlan0 IPv6 library-HP-dx2480-MT-KL969AV [00:24:1d:6b:2c:e8] Workstation          local
+  wlan0 IPv6 pclab-17 [70:71:bc:9c:6b:ce]                  Workstation          local
+  wlan0 IPv4 pclab-46 [30:85:a9:46:f3:af]                  Workstation          local
+  wlan0 IPv4 pclab-03 [70:71:bc:9c:6c:23]                  Workstation          local
+  wlan0 IPv4 tts-pri [e8:40:f2:08:f3:85]                   Workstation          local
+  wlan0 IPv4 pclab-28 [10:bf:48:73:16:f7]                  Workstation          local
+  wlan0 IPv4 Deshu [70:f3:95:14:a2:31]                     Workstation          local
+  wlan0 IPv4 pclab-04 [70:71:bc:9c:6c:55]                  Workstation          local
+  wlan0 IPv4 library-HP-dx2480-MT-KL969AV [00:24:1d:6b:2c:e8] Workstation          local
+  wlan0 IPv4 subashish [f8:bc:12:a7:37:3b]                 Workstation          local
+  wlan0 IPv4 pclab-17 [70:71:bc:9c:6b:ce]                  Workstation          local
+  wlan0 IPv6 kartik-HCL-Desktop [70:71:bc:9c:6b:59]        Workstation          local
